[2026-01-19--17-08-31 INFO actix_server::builder] starting 5 workers
[2026-01-19--17-08-31 INFO actix_server::server] Tokio runtime found; starting in existing Tokio runtime
[2026-01-19--17-08-31 INFO actix_server::server] starting service: "actix-web-service-127.0.0.1:18488", workers: 5, listening on: 127.0.0.1:18488
[2026-01-19--17-08-31 INFO parity_ws] Listening for new connections on 127.0.0.1:8900.
[2026-01-19--17-19-33 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:35152.
[2026-01-19--17-19-48 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:57518.
[2026-01-19--17-20-02 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:51090.
[2026-01-19--17-20-04 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:51104.
[2026-01-19--17-20-17 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:49134.
[2026-01-19--17-20-32 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:43010.
[2026-01-19--17-20-45 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:54948.
[2026-01-19--17-21-01 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:56630.
[2026-01-19--17-21-14 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:54350.
[2026-01-19--17-21-31 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:34534.
[2026-01-19--17-21-44 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:50616.
[2026-01-19--17-21-58 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:52484.
[2026-01-19--17-22-14 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:57338.
[2026-01-19--17-22-16 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:55770.
[2026-01-19--17-22-28 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:60712.
[2026-01-19--17-22-42 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:54052.
[2026-01-19--17-22-55 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:52148.
[2026-01-19--17-23-08 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:58030.
[2026-01-19--17-23-21 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:50764.
[2026-01-19--17-23-33 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:54160.
[2026-01-19--17-23-48 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:49762.
[2026-01-19--17-24-00 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:33342.
[2026-01-19--17-24-13 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:46600.
[2026-01-19--17-24-26 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:46472.
[2026-01-19--17-24-39 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:34464.
[2026-01-19--17-24-52 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:49322.
[2026-01-19--17-25-05 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:58254.
[2026-01-19--17-25-18 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:54138.
[2026-01-19--17-25-32 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:36230.
[2026-01-19--17-25-48 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:54310.
[2026-01-19--17-25-59 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:60410.
[2026-01-19--17-26-11 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:45736.
[2026-01-19--17-26-26 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:33962.
[2026-01-19--17-26-37 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:50794.
[2026-01-19--17-26-52 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:54162.
[2026-01-19--17-27-05 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:39220.
[2026-01-19--17-27-20 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:49564.
[2026-01-19--17-27-32 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:50914.
[2026-01-19--17-28-10 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:38274.
[2026-01-19--17-28-24 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:47314.
[2026-01-19--17-28-38 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:58704.
[2026-01-19--17-28-52 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:45108.
[2026-01-19--17-29-05 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:43770.
[2026-01-19--17-29-16 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:38768.
[2026-01-19--17-29-17 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:38776.
[2026-01-19--17-29-31 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:59210.
[2026-01-19--17-29-44 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:60446.
[2026-01-19--17-29-58 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:36236.
[2026-01-19--17-30-10 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:55160.
[2026-01-19--17-30-17 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:55164.
[2026-01-19--17-30-17 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:55172.
[2026-01-19--17-30-18 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:55188.
[2026-01-19--17-30-18 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:55192.
[2026-01-19--17-48-40 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:33220.
[2026-01-19--17-48-40 INFO actix_web::middleware::logger] 127.0.0.1 "GET /config HTTP/1.1" 200 167 "http://127.0.0.1:18488/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36" 0.001848
[2026-01-19--17-48-40 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:33224.
[2026-01-19--17-48-40 INFO actix_web::middleware::logger] 127.0.0.1 "GET /config HTTP/1.1" 200 167 "http://127.0.0.1:18488/gql/console" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36" 0.000174
[2026-01-19--18-51-19 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:54950.
[2026-01-19--18-51-19 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:54960.
[2026-01-19--18-51-19 INFO actix_web::middleware::logger] 127.0.0.1 "GET /config HTTP/1.1" 200 167 "http://127.0.0.1:18488/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36" 0.009712
[2026-01-19--18-51-19 INFO actix_web::middleware::logger] 127.0.0.1 "GET /config HTTP/1.1" 200 167 "http://127.0.0.1:18488/gql/console" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36" 0.002809
[2026-01-19--18-54-32 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:50688.
[2026-01-19--18-54-32 INFO actix_web::middleware::logger] 127.0.0.1 "GET /config HTTP/1.1" 200 167 "http://127.0.0.1:18488/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36" 0.003817
[2026-01-19--18-54-32 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:50690.
[2026-01-19--18-54-32 INFO actix_web::middleware::logger] 127.0.0.1 "GET /config HTTP/1.1" 200 167 "http://127.0.0.1:18488/gql/console" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36" 0.000420
[2026-01-20--09-53-46 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:52724.
[2026-01-20--09-53-46 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:52740.
[2026-01-20--09-53-46 INFO actix_web::middleware::logger] 127.0.0.1 "GET /config HTTP/1.1" 200 167 "http://127.0.0.1:18488/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36" 0.004561
[2026-01-20--09-53-50 INFO actix_web::middleware::logger] 127.0.0.1 "GET /config HTTP/1.1" 200 167 "http://127.0.0.1:18488/gql/console" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36" 0.003038
[2026-01-20--10-43-45 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:56164.
[2026-01-20--10-43-45 INFO actix_web::middleware::logger] 127.0.0.1 "GET /config HTTP/1.1" 200 167 "http://127.0.0.1:18488/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36" 0.001474
[2026-01-20--10-43-45 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:45514.
[2026-01-20--10-43-46 INFO actix_web::middleware::logger] 127.0.0.1 "GET /config HTTP/1.1" 200 167 "http://127.0.0.1:18488/gql/console" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36" 0.001026
[2026-01-20--10-44-23 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:54570.
[2026-01-20--10-44-23 INFO actix_web::middleware::logger] 127.0.0.1 "GET /config HTTP/1.1" 200 167 "http://127.0.0.1:18488/gql/console" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36" 0.000452
[2026-01-20--10-44-23 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:54584.
[2026-01-20--10-44-23 INFO actix_web::middleware::logger] 127.0.0.1 "GET /config HTTP/1.1" 200 167 "http://127.0.0.1:18488/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36" 0.000105
[2026-01-20--10-45-33 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:50868.
[2026-01-20--10-45-33 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:50870.
[2026-01-20--10-45-33 INFO actix_web::middleware::logger] 127.0.0.1 "GET /config HTTP/1.1" 200 167 "http://127.0.0.1:18488/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36" 0.000434
[2026-01-20--10-45-33 INFO actix_web::middleware::logger] 127.0.0.1 "GET /config HTTP/1.1" 200 167 "http://127.0.0.1:18488/gql/console" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36" 0.000327
[2026-01-20--10-46-44 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:43380.
[2026-01-20--10-46-44 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:43382.
[2026-01-20--10-46-44 INFO actix_web::middleware::logger] 127.0.0.1 "GET /config HTTP/1.1" 200 167 "http://127.0.0.1:18488/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36" 0.000236
[2026-01-20--11-14-37 INFO actix_web::middleware::logger] 127.0.0.1 "GET /config HTTP/1.1" 200 167 "http://127.0.0.1:18488/gql/console" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36" 0.000130
