[2026-01-19--10-56-04 INFO actix_server::builder] starting 5 workers
[2026-01-19--10-56-04 INFO actix_server::server] Tokio runtime found; starting in existing Tokio runtime
[2026-01-19--10-56-04 INFO actix_server::server] starting service: "actix-web-service-127.0.0.1:18488", workers: 5, listening on: 127.0.0.1:18488
[2026-01-19--10-56-04 INFO parity_ws] Listening for new connections on 127.0.0.1:8900.
[2026-01-19--11-19-33 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:50700.
[2026-01-19--11-19-47 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:43204.
[2026-01-19--11-19-48 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:48450.
[2026-01-19--11-20-04 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:47344.
[2026-01-19--11-20-19 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:56302.
[2026-01-19--11-20-36 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:39116.
[2026-01-19--11-21-17 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:56234.
[2026-01-19--11-22-25 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:50440.
[2026-01-19--11-22-31 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:54786.
[2026-01-19--11-22-32 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:54800.
[2026-01-19--11-22-34 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:54816.
[2026-01-19--11-22-44 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:40090.
[2026-01-19--11-22-45 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:40104.
[2026-01-19--11-22-46 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:40108.
[2026-01-19--11-22-57 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:50362.
[2026-01-19--11-22-58 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:57240.
[2026-01-19--11-23-02 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:57254.
[2026-01-19--11-23-14 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:60846.
[2026-01-19--11-23-14 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:60850.
[2026-01-19--11-23-17 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:60858.
[2026-01-19--11-23-20 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:51996.
[2026-01-19--11-23-32 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:36894.
[2026-01-19--11-23-34 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:36908.
[2026-01-19--11-23-37 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:36916.
[2026-01-19--11-23-38 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:36918.
[2026-01-19--11-23-50 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:50256.
[2026-01-19--11-23-51 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:50262.
[2026-01-19--11-23-54 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:51778.
[2026-01-19--11-23-56 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:51792.
[2026-01-19--11-24-10 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:34270.
[2026-01-19--11-24-11 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:34274.
[2026-01-19--11-24-12 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:34276.
[2026-01-19--11-24-14 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:35766.
[2026-01-19--11-24-26 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:49974.
[2026-01-19--11-24-27 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:49982.
[2026-01-19--11-24-28 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:49986.
[2026-01-19--11-24-30 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:49988.
[2026-01-19--11-24-43 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:51266.
[2026-01-19--11-24-44 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:51278.
[2026-01-19--11-24-46 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:42832.
[2026-01-19--11-24-48 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:42844.
[2026-01-19--11-24-50 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:42860.
[2026-01-19--11-25-01 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:54930.
[2026-01-19--11-25-02 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:54934.
[2026-01-19--11-25-04 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:54940.
[2026-01-19--11-25-06 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:51634.
[2026-01-19--11-25-18 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:56034.
[2026-01-19--11-25-19 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:56044.
[2026-01-19--11-25-21 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:56060.
[2026-01-19--11-25-23 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:56066.
[2026-01-19--11-25-34 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:35294.
[2026-01-19--11-25-35 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:35304.
[2026-01-19--11-25-37 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:54762.
[2026-01-19--11-25-41 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:54768.
[2026-01-19--11-25-52 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:34204.
[2026-01-19--11-25-53 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:34220.
[2026-01-19--11-25-56 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:34222.
[2026-01-19--11-25-59 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:52364.
[2026-01-19--11-26-13 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:44404.
[2026-01-19--11-26-13 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:44416.
[2026-01-19--11-26-15 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:44428.
[2026-01-19--11-26-17 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:44444.
[2026-01-19--11-26-29 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:52984.
[2026-01-19--11-26-30 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:46196.
[2026-01-19--11-26-32 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:46210.
[2026-01-19--11-26-34 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:46222.
[2026-01-19--11-26-36 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:46226.
[2026-01-19--11-26-49 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:38136.
[2026-01-19--11-26-50 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:38148.
[2026-01-19--11-26-52 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:36520.
[2026-01-19--11-26-55 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:36524.
[2026-01-19--11-26-57 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:36532.
[2026-01-19--11-27-07 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:42440.
[2026-01-19--11-27-09 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:42444.
[2026-01-19--11-27-11 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:45864.
[2026-01-19--11-27-13 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:45866.
[2026-01-19--11-27-17 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:45868.
[2026-01-19--11-27-27 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:52676.
[2026-01-19--11-27-29 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:52690.
[2026-01-19--11-27-51 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:45304.
[2026-01-19--11-28-38 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:37096.
[2026-01-19--11-28-43 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:37112.
[2026-01-19--11-28-44 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:37120.
[2026-01-19--11-28-46 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:37134.
[2026-01-19--11-28-58 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:44528.
[2026-01-19--11-28-59 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:44538.
[2026-01-19--11-29-00 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:44548.
[2026-01-19--11-29-00 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:44556.
[2026-01-19--11-29-01 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:44566.
[2026-01-19--11-29-11 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:38262.
[2026-01-19--11-29-13 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:38272.
[2026-01-19--11-29-15 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:38280.
[2026-01-19--11-29-29 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:33640.
[2026-01-19--11-29-31 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:49788.
[2026-01-19--11-29-33 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:49796.
[2026-01-19--11-29-45 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:47160.
[2026-01-19--11-29-47 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:47164.
[2026-01-19--11-29-50 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:48210.
[2026-01-19--11-29-54 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:48218.
[2026-01-19--11-30-05 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:35076.
[2026-01-19--11-30-06 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:35082.
[2026-01-19--11-30-08 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:35086.
[2026-01-19--11-30-10 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:35098.
[2026-01-19--11-30-12 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:53556.
[2026-01-19--11-30-23 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:52268.
[2026-01-19--11-30-26 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:52284.
[2026-01-19--11-30-28 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:52296.
[2026-01-19--11-30-30 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:52306.
[2026-01-19--11-30-33 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:39432.
[2026-01-19--11-30-44 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:47248.
[2026-01-19--11-30-45 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:47258.
[2026-01-19--11-30-48 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:47266.
[2026-01-19--11-30-50 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:47274.
[2026-01-19--11-31-03 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:37748.
[2026-01-19--11-31-04 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:37764.
[2026-01-19--11-31-06 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:58644.
[2026-01-19--11-31-08 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:58658.
[2026-01-19--11-31-11 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:58664.
[2026-01-19--11-31-22 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:57974.
[2026-01-19--11-31-23 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:57984.
[2026-01-19--11-31-25 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:33540.
[2026-01-19--11-31-29 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:33544.
[2026-01-19--11-31-31 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:33554.
[2026-01-19--11-31-42 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:35568.
[2026-01-19--11-31-44 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:35584.
[2026-01-19--11-31-46 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:35592.
[2026-01-19--11-31-48 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:57106.
[2026-01-19--11-31-59 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:60924.
[2026-01-19--11-32-01 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:60940.
[2026-01-19--11-32-04 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:60948.
[2026-01-19--11-32-06 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:60964.
[2026-01-19--11-32-06 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:60968.
[2026-01-19--11-32-08 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:37302.
[2026-01-19--11-32-19 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:51550.
[2026-01-19--11-32-20 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:51558.
[2026-01-19--11-32-22 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:51570.
[2026-01-19--11-32-25 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:51582.
[2026-01-19--11-32-27 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:51590.
[2026-01-19--11-32-39 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:39392.
[2026-01-19--11-32-41 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:44128.
[2026-01-19--11-32-43 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:44144.
[2026-01-19--11-32-45 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:44156.
[2026-01-19--11-32-47 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:44160.
[2026-01-19--11-32-58 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:37460.
[2026-01-19--11-33-00 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:37476.
[2026-01-19--11-33-02 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:48990.
[2026-01-19--11-33-05 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:48998.
[2026-01-19--11-33-16 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:44122.
[2026-01-19--11-33-18 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:44124.
[2026-01-19--11-33-19 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:44126.
[2026-01-19--11-33-20 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:44138.
[2026-01-19--11-33-22 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:56566.
[2026-01-19--11-33-24 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:56568.
[2026-01-19--11-33-37 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:51684.
[2026-01-19--11-33-38 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:51696.
[2026-01-19--11-33-40 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:51700.
[2026-01-19--11-33-43 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:51702.
[2026-01-19--11-33-45 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:50592.
[2026-01-19--11-33-56 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:59448.
[2026-01-19--11-33-57 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:59462.
[2026-01-19--11-34-00 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:59468.
[2026-01-19--11-34-02 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:59478.
[2026-01-19--11-34-04 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:40394.
[2026-01-19--11-34-16 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:42874.
[2026-01-19--11-34-18 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:42890.
[2026-01-19--11-34-20 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:42896.
[2026-01-19--11-34-22 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:42912.
[2026-01-19--11-34-24 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:42924.
[2026-01-19--11-34-34 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:58324.
[2026-01-19--11-34-36 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:43554.
[2026-01-19--11-34-41 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:43560.
[2026-01-19--11-34-43 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:43562.
[2026-01-19--11-34-54 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:35108.
[2026-01-19--11-34-56 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:35114.
[2026-01-19--11-34-58 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:54408.
[2026-01-19--11-35-00 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:54410.
[2026-01-19--11-35-13 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:51982.
[2026-01-19--11-35-14 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:51984.
[2026-01-19--11-35-16 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:51998.
[2026-01-19--11-35-18 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:52014.
[2026-01-19--11-35-20 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:47714.
[2026-01-19--11-35-31 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:47798.
[2026-01-19--11-35-33 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:47808.
[2026-01-19--11-35-35 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:47814.
[2026-01-19--11-35-37 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:47822.
[2026-01-19--11-35-39 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:37428.
[2026-01-19--11-35-52 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:39176.
[2026-01-19--11-35-54 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:39188.
[2026-01-19--11-35-56 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:39202.
[2026-01-19--11-35-58 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:39204.
[2026-01-19--11-36-00 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:39218.
[2026-01-19--11-36-11 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:54052.
[2026-01-19--11-36-13 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:54058.
[2026-01-19--11-36-16 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:54060.
[2026-01-19--11-36-19 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:54068.
[2026-01-19--11-36-21 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:54074.
[2026-01-19--11-36-31 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:39996.
[2026-01-19--11-36-33 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:35968.
[2026-01-19--11-36-35 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:35974.
[2026-01-19--11-36-37 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:35986.
[2026-01-19--11-36-50 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:56934.
[2026-01-19--11-36-51 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:56942.
[2026-01-19--11-36-54 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:56958.
[2026-01-19--11-36-56 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:53176.
[2026-01-19--11-36-58 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:53180.
[2026-01-19--11-37-09 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:34388.
[2026-01-19--11-37-11 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:34392.
[2026-01-19--11-37-13 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:34394.
[2026-01-19--11-37-15 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:53158.
[2026-01-19--11-37-19 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:53172.
[2026-01-19--11-37-30 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:56466.
[2026-01-19--11-37-31 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:56470.
[2026-01-19--11-37-33 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:56486.
